Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
1.2840e-01,0.00942189
1.2843e-01,0.00962501
1.2846e-01,0.00884376
1.2850e-01,0.00876564
1.2853e-01,0.00926564
1.2856e-01,0.00904689
1.2859e-01,0.00953126
1.2862e-01,0.00915626
1.2866e-01,0.00862501
1.2869e-01,0.00865626
1.2872e-01,0.00810939
1.2875e-01,0.00826564
1.2878e-01,0.00843751
1.2882e-01,0.00867189
1.2885e-01,0.00870314
1.2888e-01,0.00843751
1.2891e-01,0.00767189
1.2894e-01,0.00837501
1.2898e-01,0.00882814
1.2901e-01,0.00837501
1.2904e-01,0.00798439
1.2907e-01,0.00814064
1.2910e-01,0.00764064
1.2914e-01,0.00815626
1.2917e-01,0.00859376
1.2920e-01,0.00832814
1.2923e-01,0.00862501
1.2926e-01,0.00859376
1.2930e-01,0.00854689
1.2933e-01,0.00854689
1.2936e-01,0.00815626
1.2939e-01,0.00784376
1.2942e-01,0.00812501
1.2946e-01,0.00718751
1.2949e-01,0.00778126
1.2952e-01,0.00814064
1.2955e-01,0.00881251
1.2958e-01,0.00832814
1.2962e-01,0.00737501
1.2965e-01,0.00803126
1.2968e-01,0.00789064
1.2971e-01,0.00760939
1.2974e-01,0.00768751
1.2978e-01,0.00809376
1.2981e-01,0.00845314
1.2984e-01,0.00943751
1.2987e-01,0.00878126
1.2990e-01,0.00820314
1.2994e-01,0.00784376
1.2997e-01,0.00742189
1.3000e-01,0.00721876
1.3003e-01,0.00692189
1.3006e-01,0.00771876
1.3010e-01,0.00678126
1.3013e-01,0.00729689
1.3016e-01,0.00703126
1.3019e-01,0.00762501
1.3022e-01,0.00735939
1.3026e-01,0.00720314
1.3029e-01,0.00765626
1.3032e-01,0.00725001
1.3035e-01,0.00773439
1.3038e-01,0.00796876
1.3042e-01,0.00762501
1.3045e-01,0.00742189
1.3048e-01,0.00709376
1.3051e-01,0.00706251
1.3054e-01,0.00689064
1.3058e-01,0.00725001
1.3061e-01,0.00729689
1.3064e-01,0.00756251
1.3067e-01,0.00770314
1.3070e-01,0.00737501
1.3074e-01,0.00704689
1.3077e-01,0.00725001
1.3080e-01,0.00662501
1.3083e-01,0.00750001
1.3086e-01,0.00835939
1.3090e-01,0.00817189
1.3093e-01,0.00787501
1.3096e-01,0.00804689
1.3099e-01,0.00795314
1.3102e-01,0.00793751
1.3106e-01,0.00712501
1.3109e-01,0.00690626
1.3112e-01,0.00660939
1.3115e-01,0.00757814
1.3118e-01,0.00737501
1.3122e-01,0.00721876
1.3125e-01,0.00737501
1.3128e-01,0.00817189
1.3131e-01,0.00700001
1.3134e-01,0.00754689
1.3138e-01,0.00776564
1.3141e-01,0.00742189
1.3144e-01,0.00728126
1.3147e-01,0.00779689
1.3150e-01,0.00771876
1.3154e-01,0.00690626
1.3157e-01,0.00742189
1.3160e-01,0.00712501
1.3163e-01,0.00754689
1.3166e-01,0.00753126
1.3170e-01,0.00721876
1.3173e-01,0.00757814
1.3176e-01,0.00804689
1.3179e-01,0.00734376
1.3182e-01,0.00742189
1.3186e-01,0.00778126
1.3189e-01,0.00787501
1.3192e-01,0.00767189
1.3195e-01,0.00734376
1.3198e-01,0.00712501
1.3202e-01,0.00696876
1.3205e-01,0.00732814
1.3208e-01,0.00754689
1.3211e-01,0.00771876
1.3214e-01,0.00795314
1.3218e-01,0.00778126
1.3221e-01,0.00725001
1.3224e-01,0.00750001
1.3227e-01,0.00732814
1.3230e-01,0.00746876
1.3234e-01,0.00826564
1.3237e-01,0.00756251
1.3240e-01,0.00737501
1.3243e-01,0.00723439
1.3246e-01,0.00714064
1.3250e-01,0.00717189
1.3253e-01,0.00718751
1.3256e-01,0.00703126
1.3259e-01,0.00667189
1.3262e-01,0.00640626
1.3266e-01,0.00731251
1.3269e-01,0.00751564
1.3272e-01,0.00735939
1.3275e-01,0.00800001
1.3278e-01,0.00770314
1.3282e-01,0.00775001
1.3285e-01,0.00745314
1.3288e-01,0.00737501
1.3291e-01,0.00756251
1.3294e-01,0.00707814
1.3298e-01,0.00732814
1.3301e-01,0.00756251
1.3304e-01,0.00814064
1.3307e-01,0.00820314
1.3310e-01,0.00784376
1.3314e-01,0.00778126
1.3317e-01,0.00754689
1.3320e-01,0.00796876
1.3323e-01,0.00734376
1.3326e-01,0.00726564
1.3330e-01,0.00685939
1.3333e-01,0.00729689
1.3336e-01,0.00715626
1.3339e-01,0.00684376
1.3342e-01,0.00682814
1.3346e-01,0.00715626
1.3349e-01,0.00703126
1.3352e-01,0.00770314
1.3355e-01,0.00771876
1.3358e-01,0.00734376
1.3362e-01,0.00723439
1.3365e-01,0.00753126
1.3368e-01,0.00764064
1.3371e-01,0.00795314
1.3374e-01,0.00765626
1.3378e-01,0.00748439
1.3381e-01,0.00781251
1.3384e-01,0.00789064
1.3387e-01,0.00871876
1.3390e-01,0.00832814
1.3394e-01,0.00837501
1.3397e-01,0.00756251
1.3400e-01,0.00814064
1.3403e-01,0.00795314
1.3406e-01,0.00789064
1.3410e-01,0.00710939
1.3413e-01,0.00700001
1.3416e-01,0.00712501
1.3419e-01,0.00664064
1.3422e-01,0.00828126
1.3426e-01,0.00831251
1.3429e-01,0.00817189
1.3432e-01,0.00787501
1.3435e-01,0.00728126
1.3438e-01,0.00815626
1.3442e-01,0.00792189
1.3445e-01,0.00784376
1.3448e-01,0.00746876
1.3451e-01,0.00684376
1.3454e-01,0.00698439
1.3458e-01,0.00657814
1.3461e-01,0.00746876
1.3464e-01,0.00820314
1.3467e-01,0.00812501
1.3470e-01,0.00790626
1.3474e-01,0.00817189
1.3477e-01,0.00750001
1.3480e-01,0.00718751
1.3483e-01,0.00768751
1.3486e-01,0.00750001
1.3490e-01,0.00782814
1.3493e-01,0.00775001
1.3496e-01,0.00754689
1.3499e-01,0.00781251
1.3502e-01,0.00784376
1.3506e-01,0.00818751
1.3509e-01,0.00764064
1.3512e-01,0.00762501
1.3515e-01,0.00757814
1.3518e-01,0.00784376
1.3522e-01,0.00801564
1.3525e-01,0.00742189
1.3528e-01,0.00726564
1.3531e-01,0.00773439
1.3534e-01,0.00739064
1.3538e-01,0.00760939
1.3541e-01,0.00765626
1.3544e-01,0.00800001
1.3547e-01,0.00762501
1.3550e-01,0.00809376
1.3554e-01,0.00720314
1.3557e-01,0.00807814
1.3560e-01,0.00825001
1.3563e-01,0.00751564
1.3566e-01,0.00815626
1.3570e-01,0.00809376
1.3573e-01,0.00818751
1.3576e-01,0.00768751
1.3579e-01,0.00740626
1.3582e-01,0.00732814
1.3586e-01,0.00795314
1.3589e-01,0.00809376
1.3592e-01,0.00820314
1.3595e-01,0.00831251
1.3598e-01,0.00873439
1.3602e-01,0.00798439
1.3605e-01,0.00818751
1.3608e-01,0.00810939
1.3611e-01,0.00750001
1.3614e-01,0.00807814
1.3618e-01,0.00795314
1.3621e-01,0.00753126
1.3624e-01,0.00757814
1.3627e-01,0.00745314
1.3630e-01,0.00748439
1.3634e-01,0.00803126
1.3637e-01,0.00837501
1.3640e-01,0.00831251
1.3643e-01,0.00810939
1.3646e-01,0.00809376
1.3650e-01,0.00746876
1.3653e-01,0.00781251
1.3656e-01,0.00812501
1.3659e-01,0.00784376
1.3662e-01,0.00825001
1.3666e-01,0.00828126
