Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
1.2840e-01,0.0653906
1.2843e-01,0.0671406
1.2846e-01,0.0674063
1.2850e-01,0.068625
1.2853e-01,0.0714063
1.2856e-01,0.0754531
1.2859e-01,0.0795781
1.2862e-01,0.081375
1.2866e-01,0.0837813
1.2869e-01,0.0884063
1.2872e-01,0.0903125
1.2875e-01,0.0925938
1.2878e-01,0.0960469
1.2882e-01,0.0979688
1.2885e-01,0.101609
1.2888e-01,0.107547
1.2891e-01,0.112375
1.2894e-01,0.115766
1.2898e-01,0.117797
1.2901e-01,0.121766
1.2904e-01,0.123844
1.2907e-01,0.126047
1.2910e-01,0.126891
1.2914e-01,0.125375
1.2917e-01,0.126344
1.2920e-01,0.126031
1.2923e-01,0.126547
1.2926e-01,0.124719
1.2930e-01,0.122625
1.2933e-01,0.121047
1.2936e-01,0.117
1.2939e-01,0.111391
1.2942e-01,0.106141
1.2946e-01,0.10225
1.2949e-01,0.0979844
1.2952e-01,0.0917656
1.2955e-01,0.0862969
1.2958e-01,0.0804219
1.2962e-01,0.0746719
1.2965e-01,0.0687031
1.2968e-01,0.0641563
1.2971e-01,0.0600938
1.2974e-01,0.0555625
1.2978e-01,0.0519688
1.2981e-01,0.0482969
1.2984e-01,0.0453438
1.2987e-01,0.0421719
1.2990e-01,0.0389219
1.2994e-01,0.0365781
1.2997e-01,0.0339688
1.3000e-01,0.0326563
1.3003e-01,0.0315313
1.3006e-01,0.0300156
1.3010e-01,0.028875
1.3013e-01,0.0271875
1.3016e-01,0.026375
1.3019e-01,0.0259531
1.3022e-01,0.0259063
1.3026e-01,0.0245781
1.3029e-01,0.0244531
1.3032e-01,0.0239531
1.3035e-01,0.0237188
1.3038e-01,0.0234375
1.3042e-01,0.0232031
1.3045e-01,0.0228125
1.3048e-01,0.0231875
1.3051e-01,0.0234844
1.3054e-01,0.0237813
1.3058e-01,0.0236719
1.3061e-01,0.0240156
1.3064e-01,0.0242969
1.3067e-01,0.0252344
1.3070e-01,0.0248281
1.3074e-01,0.026
1.3077e-01,0.027125
1.3080e-01,0.0289219
1.3083e-01,0.0291094
1.3086e-01,0.0303594
1.3090e-01,0.0309219
1.3093e-01,0.0322656
1.3096e-01,0.0327969
1.3099e-01,0.03325
1.3102e-01,0.0333125
1.3106e-01,0.0342188
1.3109e-01,0.0348594
1.3112e-01,0.0358125
1.3115e-01,0.0377656
1.3118e-01,0.0394219
1.3122e-01,0.0396406
1.3125e-01,0.0408281
1.3128e-01,0.0417344
1.3131e-01,0.0422188
1.3134e-01,0.0428438
1.3138e-01,0.0436875
1.3141e-01,0.0452813
1.3144e-01,0.0449531
1.3147e-01,0.044
1.3150e-01,0.0445781
1.3154e-01,0.0449063
1.3157e-01,0.0444844
1.3160e-01,0.0434375
1.3163e-01,0.0428125
1.3166e-01,0.0423594
1.3170e-01,0.0406719
1.3173e-01,0.0399063
1.3176e-01,0.0381094
1.3179e-01,0.0360156
1.3182e-01,0.0345313
1.3186e-01,0.0332188
1.3189e-01,0.0306563
1.3192e-01,0.0297813
1.3195e-01,0.0278906
1.3198e-01,0.026125
1.3202e-01,0.0250938
1.3205e-01,0.0242656
1.3208e-01,0.0224688
1.3211e-01,0.0220156
1.3214e-01,0.0201094
1.3218e-01,0.0198438
1.3221e-01,0.0202813
1.3224e-01,0.0201563
1.3227e-01,0.0188438
1.3230e-01,0.0180156
1.3234e-01,0.0179688
1.3237e-01,0.0179219
1.3240e-01,0.0175938
1.3243e-01,0.018
1.3246e-01,0.0175
1.3250e-01,0.0173438
1.3253e-01,0.01675
1.3256e-01,0.0171563
1.3259e-01,0.017375
1.3262e-01,0.0178438
1.3266e-01,0.0175313
1.3269e-01,0.0164375
1.3272e-01,0.0165
1.3275e-01,0.0168125
1.3278e-01,0.0166875
1.3282e-01,0.0167188
1.3285e-01,0.0178438
1.3288e-01,0.0181563
1.3291e-01,0.018125
1.3294e-01,0.0177656
1.3298e-01,0.0169063
1.3301e-01,0.016375
1.3304e-01,0.0163281
1.3307e-01,0.01625
1.3310e-01,0.0154063
1.3314e-01,0.0146563
1.3317e-01,0.0140156
1.3320e-01,0.0140938
1.3323e-01,0.0135469
1.3326e-01,0.0140625
1.3330e-01,0.0137969
1.3333e-01,0.014
1.3336e-01,0.0139375
1.3339e-01,0.0135781
1.3342e-01,0.0137344
1.3346e-01,0.0131875
1.3349e-01,0.0133906
1.3352e-01,0.0129844
1.3355e-01,0.0128906
1.3358e-01,0.0126719
1.3362e-01,0.0125156
1.3365e-01,0.0129688
1.3368e-01,0.0128281
1.3371e-01,0.0128906
1.3374e-01,0.0139688
1.3378e-01,0.0142188
1.3381e-01,0.0138438
1.3384e-01,0.014
1.3387e-01,0.0139063
1.3390e-01,0.0139844
1.3394e-01,0.014625
1.3397e-01,0.0153125
1.3400e-01,0.0161406
1.3403e-01,0.0161094
1.3406e-01,0.0153594
1.3410e-01,0.0154375
1.3413e-01,0.0160781
1.3416e-01,0.0152813
1.3419e-01,0.0151719
1.3422e-01,0.0148438
1.3426e-01,0.0149063
1.3429e-01,0.0155156
1.3432e-01,0.016375
1.3435e-01,0.0169063
1.3438e-01,0.016875
1.3442e-01,0.0174688
1.3445e-01,0.0170938
1.3448e-01,0.0175781
1.3451e-01,0.0179219
1.3454e-01,0.0180469
1.3458e-01,0.0186094
1.3461e-01,0.0184844
1.3464e-01,0.0191094
1.3467e-01,0.0192031
1.3470e-01,0.0192188
1.3474e-01,0.0204531
1.3477e-01,0.0219063
1.3480e-01,0.0218906
1.3483e-01,0.0223438
1.3486e-01,0.0230469
1.3490e-01,0.0241875
1.3493e-01,0.0245313
1.3496e-01,0.0256094
1.3499e-01,0.0266094
1.3502e-01,0.0265781
1.3506e-01,0.0294688
1.3509e-01,0.0296563
1.3512e-01,0.0314063
1.3515e-01,0.0309375
1.3518e-01,0.0329531
1.3522e-01,0.0346719
1.3525e-01,0.0360313
1.3528e-01,0.036875
1.3531e-01,0.0380625
1.3534e-01,0.0399844
1.3538e-01,0.0416563
1.3541e-01,0.0445313
1.3544e-01,0.0464375
1.3547e-01,0.0487656
1.3550e-01,0.0494219
1.3554e-01,0.0511875
1.3557e-01,0.0530625
1.3560e-01,0.0559063
1.3563e-01,0.0559219
1.3566e-01,0.057125
1.3570e-01,0.0598281
1.3573e-01,0.0607969
1.3576e-01,0.0610156
1.3579e-01,0.0615938
1.3582e-01,0.0616719
1.3586e-01,0.0599688
1.3589e-01,0.0576719
1.3592e-01,0.0555156
1.3595e-01,0.0540156
1.3598e-01,0.0521094
1.3602e-01,0.0493438
1.3605e-01,0.0467656
1.3608e-01,0.0435
1.3611e-01,0.0414375
1.3614e-01,0.038625
1.3618e-01,0.0369531
1.3621e-01,0.0351563
1.3624e-01,0.0338125
1.3627e-01,0.0328125
1.3630e-01,0.0302031
1.3634e-01,0.0300781
1.3637e-01,0.0284219
1.3640e-01,0.0285625
1.3643e-01,0.0279219
1.3646e-01,0.0281719
1.3650e-01,0.028625
1.3653e-01,0.0284688
1.3656e-01,0.0294063
1.3659e-01,0.0292656
1.3662e-01,0.0310469
1.3666e-01,0.0322188
1.3669e-01,0.0329219
1.3672e-01,0.0336406
1.3675e-01,0.0350313
1.3678e-01,0.0364375
