Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
1.2740e-01,0.157656
1.2743e-01,0.155125
1.2746e-01,0.158187
1.2750e-01,0.159344
1.2753e-01,0.16375
1.2756e-01,0.1725
1.2759e-01,0.180812
1.2762e-01,0.177156
1.2766e-01,0.180812
1.2769e-01,0.187906
1.2772e-01,0.1935
1.2775e-01,0.1975
1.2778e-01,0.205437
1.2782e-01,0.211625
1.2785e-01,0.214281
1.2788e-01,0.221031
1.2791e-01,0.232156
1.2794e-01,0.240844
1.2798e-01,0.244312
1.2801e-01,0.248875
1.2804e-01,0.249531
1.2807e-01,0.263531
1.2810e-01,0.267281
1.2814e-01,0.278281
1.2817e-01,0.287531
1.2820e-01,0.293281
1.2823e-01,0.297062
1.2826e-01,0.304469
1.2830e-01,0.317469
1.2833e-01,0.325719
1.2836e-01,0.328812
1.2839e-01,0.33525
1.2842e-01,0.339437
1.2846e-01,0.349562
1.2849e-01,0.350937
1.2852e-01,0.361469
1.2855e-01,0.374687
1.2858e-01,0.378031
1.2862e-01,0.384812
1.2865e-01,0.394062
1.2868e-01,0.402219
1.2871e-01,0.415094
1.2874e-01,0.4145
1.2878e-01,0.424406
1.2881e-01,0.436625
1.2884e-01,0.453781
1.2887e-01,0.464719
1.2890e-01,0.479156
1.2894e-01,0.492031
1.2897e-01,0.511562
1.2900e-01,0.517625
1.2903e-01,0.533
1.2906e-01,0.540062
1.2910e-01,0.566812
1.2913e-01,0.584531
1.2916e-01,0.614062
1.2919e-01,0.6365
1.2922e-01,0.653906
1.2926e-01,0.675
1.2929e-01,0.708562
1.2932e-01,0.735437
1.2935e-01,0.770375
1.2938e-01,0.802
1.2942e-01,0.827844
1.2945e-01,0.844281
1.2948e-01,0.879469
1.2951e-01,0.906
1.2954e-01,0.946906
1.2958e-01,0.96225
1.2961e-01,0.983687
1.2964e-01,0.996094
1.2967e-01,1.03306
1.2970e-01,1.05484
1.2974e-01,1.07444
1.2977e-01,1.0905
1.2980e-01,1.10297
1.2983e-01,1.10634
1.2986e-01,1.10969
1.2990e-01,1.12334
1.2993e-01,1.11684
1.2996e-01,1.1
1.2999e-01,1.093
1.3002e-01,1.07559
1.3006e-01,1.06212
1.3009e-01,1.03806
1.3012e-01,1.01616
1.3015e-01,0.983312
1.3018e-01,0.961219
1.3022e-01,0.924687
1.3025e-01,0.888531
1.3028e-01,0.861156
1.3031e-01,0.825219
1.3034e-01,0.789312
1.3038e-01,0.763531
1.3041e-01,0.726781
1.3044e-01,0.690437
1.3047e-01,0.651031
1.3050e-01,0.610031
1.3054e-01,0.563187
1.3057e-01,0.521219
1.3060e-01,0.484312
1.3063e-01,0.453344
1.3066e-01,0.427062
1.3070e-01,0.392906
1.3073e-01,0.367219
1.3076e-01,0.341094
1.3079e-01,0.327031
1.3082e-01,0.312594
1.3086e-01,0.293594
1.3089e-01,0.278469
1.3092e-01,0.263437
1.3095e-01,0.25175
1.3098e-01,0.246281
1.3102e-01,0.239531
1.3105e-01,0.238281
1.3108e-01,0.232594
1.3111e-01,0.233625
1.3114e-01,0.236281
1.3118e-01,0.231562
1.3121e-01,0.233125
1.3124e-01,0.238719
1.3127e-01,0.242875
1.3130e-01,0.241344
1.3134e-01,0.249531
1.3137e-01,0.252531
1.3140e-01,0.256719
1.3143e-01,0.259687
1.3146e-01,0.266062
1.3150e-01,0.27175
1.3153e-01,0.277656
1.3156e-01,0.288719
1.3159e-01,0.294312
1.3162e-01,0.304969
1.3166e-01,0.315187
1.3169e-01,0.330687
1.3172e-01,0.337062
1.3175e-01,0.344562
1.3178e-01,0.352219
1.3182e-01,0.366437
1.3185e-01,0.378969
1.3188e-01,0.389219
1.3191e-01,0.4055
1.3194e-01,0.424187
1.3198e-01,0.434094
1.3201e-01,0.449281
1.3204e-01,0.466344
1.3207e-01,0.477781
1.3210e-01,0.481344
1.3214e-01,0.506219
1.3217e-01,0.52
1.3220e-01,0.523344
1.3223e-01,0.544187
1.3226e-01,0.548812
1.3230e-01,0.556469
1.3233e-01,0.561344
1.3236e-01,0.572875
1.3239e-01,0.583281
1.3242e-01,0.585687
1.3246e-01,0.597344
1.3249e-01,0.593031
1.3252e-01,0.595156
1.3255e-01,0.590562
1.3258e-01,0.598062
1.3262e-01,0.591969
1.3265e-01,0.581531
1.3268e-01,0.568406
1.3271e-01,0.549812
1.3274e-01,0.530656
1.3278e-01,0.511781
1.3281e-01,0.497656
1.3284e-01,0.475094
1.3287e-01,0.463281
1.3290e-01,0.440937
1.3294e-01,0.418562
1.3297e-01,0.394156
1.3300e-01,0.37875
1.3303e-01,0.351656
1.3306e-01,0.330219
1.3310e-01,0.307625
1.3313e-01,0.29175
1.3316e-01,0.269281
1.3319e-01,0.256531
1.3322e-01,0.24275
1.3326e-01,0.226531
1.3329e-01,0.211562
1.3332e-01,0.198125
1.3335e-01,0.191281
1.3338e-01,0.185719
1.3342e-01,0.178844
1.3345e-01,0.177312
1.3348e-01,0.167875
1.3351e-01,0.163531
1.3354e-01,0.157437
1.3358e-01,0.158781
1.3361e-01,0.157906
1.3364e-01,0.156875
1.3367e-01,0.152406
1.3370e-01,0.150781
1.3374e-01,0.152469
1.3377e-01,0.15025
1.3380e-01,0.152062
1.3383e-01,0.153281
1.3386e-01,0.152031
1.3390e-01,0.149656
1.3393e-01,0.155187
1.3396e-01,0.151125
1.3399e-01,0.15375
1.3402e-01,0.153719
1.3406e-01,0.151656
1.3409e-01,0.151781
1.3412e-01,0.159969
1.3415e-01,0.157812
1.3418e-01,0.158031
1.3422e-01,0.157125
1.3425e-01,0.156062
1.3428e-01,0.166531
1.3431e-01,0.168281
1.3434e-01,0.166906
1.3438e-01,0.169469
1.3441e-01,0.17275
1.3444e-01,0.176344
1.3447e-01,0.178937
1.3450e-01,0.185969
1.3454e-01,0.186344
1.3457e-01,0.192656
1.3460e-01,0.193219
1.3463e-01,0.200312
1.3466e-01,0.204719
1.3470e-01,0.209781
1.3473e-01,0.21525
1.3476e-01,0.218625
1.3479e-01,0.22225
1.3482e-01,0.222594
1.3486e-01,0.229344
1.3489e-01,0.233156
1.3492e-01,0.231656
1.3495e-01,0.232562
1.3498e-01,0.227719
1.3502e-01,0.226
1.3505e-01,0.22275
1.3508e-01,0.217687
1.3511e-01,0.215469
1.3514e-01,0.209719
1.3518e-01,0.202687
1.3521e-01,0.202344
1.3524e-01,0.197094
1.3527e-01,0.191437
1.3530e-01,0.184469
1.3534e-01,0.181219
1.3537e-01,0.175344
1.3540e-01,0.166344
1.3543e-01,0.160906
1.3546e-01,0.153094
1.3550e-01,0.146312
1.3553e-01,0.141469
1.3556e-01,0.138187
1.3559e-01,0.131781
1.3562e-01,0.127531
1.3566e-01,0.126812
1.3569e-01,0.125344
1.3572e-01,0.12425
1.3575e-01,0.119969
1.3578e-01,0.123281
1.3582e-01,0.121562
1.3585e-01,0.121969
1.3588e-01,0.125781
1.3591e-01,0.127031
1.3594e-01,0.132344
1.3598e-01,0.137219
1.3601e-01,0.143125
1.3604e-01,0.146094
1.3607e-01,0.150219
1.3610e-01,0.157406
1.3614e-01,0.16225
1.3617e-01,0.169844
1.3620e-01,0.175812
1.3623e-01,0.180469
1.3626e-01,0.187219
1.3630e-01,0.194531
1.3633e-01,0.203406
