Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
1.2840e-01,0.179031
1.2843e-01,0.190281
1.2846e-01,0.199156
1.2850e-01,0.188031
1.2853e-01,0.181562
1.2856e-01,0.181469
1.2859e-01,0.17875
1.2862e-01,0.1725
1.2866e-01,0.164812
1.2869e-01,0.162812
1.2872e-01,0.162469
1.2875e-01,0.15475
1.2878e-01,0.150156
1.2882e-01,0.140625
1.2885e-01,0.135969
1.2888e-01,0.123875
1.2891e-01,0.119281
1.2894e-01,0.117469
1.2898e-01,0.113625
1.2901e-01,0.105437
1.2904e-01,0.0985312
1.2907e-01,0.0890625
1.2910e-01,0.0848125
1.2914e-01,0.0809062
1.2917e-01,0.0739062
1.2920e-01,0.0728125
1.2923e-01,0.0747812
1.2926e-01,0.069875
1.2930e-01,0.0676875
1.2933e-01,0.0625312
1.2936e-01,0.060375
1.2939e-01,0.059
1.2942e-01,0.055
1.2946e-01,0.053125
1.2949e-01,0.0539375
1.2952e-01,0.0519062
1.2955e-01,0.0511875
1.2958e-01,0.053125
1.2962e-01,0.0527187
1.2965e-01,0.0530312
1.2968e-01,0.049625
1.2971e-01,0.0480312
1.2974e-01,0.0498437
1.2978e-01,0.047625
1.2981e-01,0.0477187
1.2984e-01,0.0467187
1.2987e-01,0.0465
1.2990e-01,0.046375
1.2994e-01,0.0465625
1.2997e-01,0.0439062
1.3000e-01,0.0445937
1.3003e-01,0.0446875
1.3006e-01,0.0439375
1.3010e-01,0.0460312
1.3013e-01,0.045
1.3016e-01,0.0463437
1.3019e-01,0.045
1.3022e-01,0.0448437
1.3026e-01,0.0426562
1.3029e-01,0.042
1.3032e-01,0.0414375
1.3035e-01,0.0407187
1.3038e-01,0.0406562
1.3042e-01,0.04175
1.3045e-01,0.0412187
1.3048e-01,0.0420625
1.3051e-01,0.0402812
1.3054e-01,0.0427812
1.3058e-01,0.043125
1.3061e-01,0.0444062
1.3064e-01,0.0454687
1.3067e-01,0.0443437
1.3070e-01,0.0437812
1.3074e-01,0.0421562
1.3077e-01,0.0441875
1.3080e-01,0.0437187
1.3083e-01,0.0449687
1.3086e-01,0.0448125
1.3090e-01,0.0459375
1.3093e-01,0.0455
1.3096e-01,0.0436875
1.3099e-01,0.0430625
1.3102e-01,0.039625
1.3106e-01,0.044
1.3109e-01,0.0449687
1.3112e-01,0.047
1.3115e-01,0.044
1.3118e-01,0.04275
1.3122e-01,0.0420625
1.3125e-01,0.0448125
1.3128e-01,0.046625
1.3131e-01,0.046125
1.3134e-01,0.047375
1.3138e-01,0.0472187
1.3141e-01,0.0466875
1.3144e-01,0.0472812
1.3147e-01,0.0464375
1.3150e-01,0.0503437
1.3154e-01,0.0488437
1.3157e-01,0.0474687
1.3160e-01,0.04625
1.3163e-01,0.0454687
1.3166e-01,0.0477187
1.3170e-01,0.0519062
1.3173e-01,0.051375
1.3176e-01,0.0483125
1.3179e-01,0.0458437
1.3182e-01,0.0475625
1.3186e-01,0.049
1.3189e-01,0.0447187
1.3192e-01,0.0439687
1.3195e-01,0.0414687
1.3198e-01,0.0461875
1.3202e-01,0.0455937
1.3205e-01,0.04375
1.3208e-01,0.0431562
1.3211e-01,0.042
1.3214e-01,0.0390937
1.3218e-01,0.038875
1.3221e-01,0.039
1.3224e-01,0.036875
1.3227e-01,0.037625
1.3230e-01,0.0396875
1.3234e-01,0.0379375
1.3237e-01,0.0392812
1.3240e-01,0.0389687
1.3243e-01,0.037125
1.3246e-01,0.0365
1.3250e-01,0.0353437
1.3253e-01,0.03525
1.3256e-01,0.0342187
1.3259e-01,0.0353125
1.3262e-01,0.0384062
1.3266e-01,0.03575
1.3269e-01,0.0371562
1.3272e-01,0.0354687
1.3275e-01,0.038125
1.3278e-01,0.0379375
1.3282e-01,0.0356562
1.3285e-01,0.0371562
1.3288e-01,0.03925
1.3291e-01,0.0389375
1.3294e-01,0.0401875
1.3298e-01,0.0407187
1.3301e-01,0.0390937
1.3304e-01,0.0387187
1.3307e-01,0.0366562
1.3310e-01,0.0373437
1.3314e-01,0.0381875
1.3317e-01,0.0404062
1.3320e-01,0.0435937
1.3323e-01,0.0419687
1.3326e-01,0.0450312
1.3330e-01,0.0430625
1.3333e-01,0.0415937
1.3336e-01,0.0405937
1.3339e-01,0.0405312
1.3342e-01,0.0410312
1.3346e-01,0.0388437
1.3349e-01,0.0408125
1.3352e-01,0.0408437
1.3355e-01,0.0410312
1.3358e-01,0.0400312
1.3362e-01,0.0400937
1.3365e-01,0.043125
1.3368e-01,0.04525
1.3371e-01,0.0455
1.3374e-01,0.0449062
1.3378e-01,0.0491562
1.3381e-01,0.0452187
1.3384e-01,0.0479375
1.3387e-01,0.046875
1.3390e-01,0.0480312
1.3394e-01,0.0474687
1.3397e-01,0.0464687
1.3400e-01,0.0465937
1.3403e-01,0.04575
1.3406e-01,0.0440312
1.3410e-01,0.0433437
1.3413e-01,0.0454687
1.3416e-01,0.0464687
1.3419e-01,0.0472187
1.3422e-01,0.04625
1.3426e-01,0.0438125
1.3429e-01,0.0415
1.3432e-01,0.0434062
1.3435e-01,0.0406875
1.3438e-01,0.0455
1.3442e-01,0.041875
1.3445e-01,0.038875
1.3448e-01,0.0391875
1.3451e-01,0.0386562
1.3454e-01,0.0367812
1.3458e-01,0.04025
1.3461e-01,0.0394687
1.3464e-01,0.0394375
1.3467e-01,0.039875
1.3470e-01,0.03825
1.3474e-01,0.0395
1.3477e-01,0.0391875
1.3480e-01,0.03625
1.3483e-01,0.0358437
1.3486e-01,0.0366875
1.3490e-01,0.0405
1.3493e-01,0.0424062
1.3496e-01,0.0414687
1.3499e-01,0.0425
1.3502e-01,0.04175
1.3506e-01,0.0411562
1.3509e-01,0.03775
1.3512e-01,0.0399687
1.3515e-01,0.0378437
1.3518e-01,0.0375312
1.3522e-01,0.0388125
1.3525e-01,0.0414687
1.3528e-01,0.0422187
1.3531e-01,0.0405937
1.3534e-01,0.04025
1.3538e-01,0.03925
1.3541e-01,0.04025
1.3544e-01,0.041375
1.3547e-01,0.0415625
1.3550e-01,0.0430312
1.3554e-01,0.0403125
1.3557e-01,0.0420937
1.3560e-01,0.0434375
1.3563e-01,0.042
1.3566e-01,0.0427187
1.3570e-01,0.041125
1.3573e-01,0.0394062
1.3576e-01,0.040625
1.3579e-01,0.0386875
1.3582e-01,0.0394375
1.3586e-01,0.0389687
1.3589e-01,0.0399062
1.3592e-01,0.0408437
1.3595e-01,0.039125
1.3598e-01,0.0394687
1.3602e-01,0.0384687
1.3605e-01,0.0378437
1.3608e-01,0.0403437
1.3611e-01,0.0375625
1.3614e-01,0.0372812
1.3618e-01,0.0380937
1.3621e-01,0.037375
1.3624e-01,0.0365312
1.3627e-01,0.03775
1.3630e-01,0.0413125
1.3634e-01,0.0389375
1.3637e-01,0.0394687
1.3640e-01,0.0414375
1.3643e-01,0.04175
1.3646e-01,0.0414687
1.3650e-01,0.0394687
1.3653e-01,0.0364687
1.3656e-01,0.0372812
1.3659e-01,0.0352187
1.3662e-01,0.03675
1.3666e-01,0.038375
1.3669e-01,0.0378125
1.3672e-01,0.03775
1.3675e-01,0.03725
1.3678e-01,0.03725
1.3682e-01,0.0368125
1.3685e-01,0.038
1.3688e-01,0.0368125
1.3691e-01,0.040375
