Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
1.2180e-01,0.0529922
1.2183e-01,0.0554453
1.2186e-01,0.0525859
1.2190e-01,0.0480469
1.2193e-01,0.04625
1.2196e-01,0.0483281
1.2199e-01,0.0486094
1.2202e-01,0.0517891
1.2206e-01,0.0503516
1.2209e-01,0.0505391
1.2212e-01,0.0490781
1.2215e-01,0.0461719
1.2218e-01,0.0417187
1.2222e-01,0.0439141
1.2225e-01,0.0411797
1.2228e-01,0.0454687
1.2231e-01,0.0453125
1.2234e-01,0.0448047
1.2238e-01,0.0414609
1.2241e-01,0.0434687
1.2244e-01,0.0424062
1.2247e-01,0.0442109
1.2250e-01,0.043
1.2254e-01,0.0440937
1.2257e-01,0.0448594
1.2260e-01,0.042875
1.2263e-01,0.0450234
1.2266e-01,0.0405703
1.2270e-01,0.0423906
1.2273e-01,0.0442891
1.2276e-01,0.0452969
1.2279e-01,0.0433984
1.2282e-01,0.044875
1.2286e-01,0.0442344
1.2289e-01,0.0429219
1.2292e-01,0.04225
1.2295e-01,0.0451953
1.2298e-01,0.0438047
1.2302e-01,0.0431719
1.2305e-01,0.0387422
1.2308e-01,0.0379687
1.2311e-01,0.0387031
1.2314e-01,0.0377344
1.2318e-01,0.0366953
1.2321e-01,0.0345391
1.2324e-01,0.0363125
1.2327e-01,0.0384687
1.2330e-01,0.0384297
1.2334e-01,0.0440312
1.2337e-01,0.0449375
1.2340e-01,0.044
1.2343e-01,0.0446641
1.2346e-01,0.0430469
1.2350e-01,0.0462031
1.2353e-01,0.0508125
1.2356e-01,0.0445859
1.2359e-01,0.0398594
1.2362e-01,0.0378125
1.2366e-01,0.0372656
1.2369e-01,0.0405
1.2372e-01,0.0394687
1.2375e-01,0.0378437
1.2378e-01,0.0363203
1.2382e-01,0.0405156
1.2385e-01,0.0388828
1.2388e-01,0.0383984
1.2391e-01,0.0383906
1.2394e-01,0.0398281
1.2398e-01,0.041875
1.2401e-01,0.0428437
1.2404e-01,0.0465625
1.2407e-01,0.0433281
1.2410e-01,0.0430391
1.2414e-01,0.0417812
1.2417e-01,0.0376875
1.2420e-01,0.0407344
1.2423e-01,0.0443672
1.2426e-01,0.0436016
1.2430e-01,0.0437344
1.2433e-01,0.0451641
1.2436e-01,0.0439297
1.2439e-01,0.0445625
1.2442e-01,0.0448828
1.2446e-01,0.0410234
1.2449e-01,0.0387187
1.2452e-01,0.0403125
1.2455e-01,0.0458281
1.2458e-01,0.0434531
1.2462e-01,0.0449531
1.2465e-01,0.0463594
1.2468e-01,0.0493281
1.2471e-01,0.0486172
1.2474e-01,0.0471406
1.2478e-01,0.0457734
1.2481e-01,0.0517187
1.2484e-01,0.0526484
1.2487e-01,0.0505859
1.2490e-01,0.0497109
1.2494e-01,0.0521094
1.2497e-01,0.0527656
1.2500e-01,0.0491562
1.2503e-01,0.0470781
1.2506e-01,0.0480859
1.2510e-01,0.0510391
1.2513e-01,0.0477969
1.2516e-01,0.0488359
1.2519e-01,0.0503281
1.2522e-01,0.0501016
1.2526e-01,0.0521719
1.2529e-01,0.0542656
1.2532e-01,0.0527344
1.2535e-01,0.0494375
1.2538e-01,0.0481328
1.2542e-01,0.0513047
1.2545e-01,0.0488047
1.2548e-01,0.0452031
1.2551e-01,0.0489062
1.2554e-01,0.0468437
1.2558e-01,0.0488906
1.2561e-01,0.0526562
1.2564e-01,0.0493047
1.2567e-01,0.0492578
1.2570e-01,0.0544219
1.2574e-01,0.0509219
1.2577e-01,0.0525312
1.2580e-01,0.04875
1.2583e-01,0.0500937
1.2586e-01,0.0526172
1.2590e-01,0.0502187
1.2593e-01,0.0534531
1.2596e-01,0.0521797
1.2599e-01,0.0518516
1.2602e-01,0.0520391
1.2606e-01,0.0537344
1.2609e-01,0.0531562
1.2612e-01,0.0488672
1.2615e-01,0.0512344
1.2618e-01,0.0555
1.2622e-01,0.0518906
1.2625e-01,0.0546797
1.2628e-01,0.0495703
1.2631e-01,0.0544375
1.2634e-01,0.0567422
1.2638e-01,0.0566484
1.2641e-01,0.0546328
1.2644e-01,0.0549844
1.2647e-01,0.0535547
1.2650e-01,0.0551797
1.2654e-01,0.0552578
1.2657e-01,0.0507109
1.2660e-01,0.0574922
1.2663e-01,0.0606406
1.2666e-01,0.0614766
1.2670e-01,0.0641719
1.2673e-01,0.0632266
1.2676e-01,0.0582891
1.2679e-01,0.06025
1.2682e-01,0.0653594
1.2686e-01,0.0660625
1.2689e-01,0.0650234
1.2692e-01,0.0671641
1.2695e-01,0.0651797
1.2698e-01,0.0694141
1.2702e-01,0.0745937
1.2705e-01,0.0710469
1.2708e-01,0.0715156
1.2711e-01,0.0736406
1.2714e-01,0.0689609
1.2718e-01,0.0697656
1.2721e-01,0.0705937
1.2724e-01,0.0743125
1.2727e-01,0.0821641
1.2730e-01,0.0833203
1.2734e-01,0.0807891
1.2737e-01,0.0784531
1.2740e-01,0.0766875
1.2743e-01,0.0771328
1.2746e-01,0.0791094
1.2750e-01,0.0888516
1.2753e-01,0.0983594
1.2756e-01,0.0964609
1.2759e-01,0.0927578
1.2762e-01,0.087375
1.2766e-01,0.0905391
1.2769e-01,0.0997578
1.2772e-01,0.100617
1.2775e-01,0.100766
1.2778e-01,0.104281
1.2782e-01,0.10582
1.2785e-01,0.105883
1.2788e-01,0.101375
1.2791e-01,0.103867
1.2794e-01,0.109227
1.2798e-01,0.109492
1.2801e-01,0.102766
1.2804e-01,0.102586
1.2807e-01,0.105172
1.2810e-01,0.111078
1.2814e-01,0.111805
1.2817e-01,0.110687
1.2820e-01,0.113734
1.2823e-01,0.123062
1.2826e-01,0.132156
1.2830e-01,0.126977
1.2833e-01,0.12875
1.2836e-01,0.130641
1.2839e-01,0.135055
1.2842e-01,0.134422
1.2846e-01,0.134047
1.2849e-01,0.129945
1.2852e-01,0.123117
1.2855e-01,0.124969
1.2858e-01,0.123195
1.2862e-01,0.121656
1.2865e-01,0.125508
1.2868e-01,0.121656
1.2871e-01,0.126969
1.2874e-01,0.131828
1.2878e-01,0.12768
1.2881e-01,0.131172
1.2884e-01,0.135773
1.2887e-01,0.138
1.2890e-01,0.138141
1.2894e-01,0.140047
1.2897e-01,0.140812
1.2900e-01,0.146508
1.2903e-01,0.151352
1.2906e-01,0.162156
1.2910e-01,0.158062
1.2913e-01,0.156875
1.2916e-01,0.153078
1.2919e-01,0.15382
1.2922e-01,0.159914
1.2926e-01,0.162203
1.2929e-01,0.171461
1.2932e-01,0.178328
1.2935e-01,0.171781
1.2938e-01,0.176992
1.2942e-01,0.179328
1.2945e-01,0.184992
1.2948e-01,0.193906
1.2951e-01,0.203375
1.2954e-01,0.209945
1.2958e-01,0.208398
1.2961e-01,0.216602
1.2964e-01,0.22393
1.2967e-01,0.231273
1.2970e-01,0.231609
1.2974e-01,0.237773
1.2977e-01,0.239945
1.2980e-01,0.238555
1.2983e-01,0.243797
1.2986e-01,0.246852
1.2990e-01,0.241687
1.2993e-01,0.250531
1.2996e-01,0.261148
1.2999e-01,0.260484
1.3002e-01,0.260766
1.3006e-01,0.256062
1.3009e-01,0.258398
1.3012e-01,0.258187
1.3015e-01,0.244125
1.3018e-01,0.247906
1.3022e-01,0.240859
1.3025e-01,0.238398
1.3028e-01,0.234883
