Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.2180e-01,0.0238062
1.2183e-01,0.0244844
1.2186e-01,0.0246156
1.2190e-01,0.0237844
1.2193e-01,0.0247406
1.2196e-01,0.0239125
1.2199e-01,0.0241219
1.2202e-01,0.0235844
1.2206e-01,0.0233156
1.2209e-01,0.0237281
1.2212e-01,0.0235531
1.2215e-01,0.0235687
1.2218e-01,0.0240062
1.2222e-01,0.0240437
1.2225e-01,0.0245875
1.2228e-01,0.0246437
1.2231e-01,0.0243437
1.2234e-01,0.0237937
1.2238e-01,0.0235781
1.2241e-01,0.0239656
1.2244e-01,0.0234906
1.2247e-01,0.0234406
1.2250e-01,0.0238812
1.2254e-01,0.0234594
1.2257e-01,0.0233906
1.2260e-01,0.0231844
1.2263e-01,0.0228437
1.2266e-01,0.0230344
1.2270e-01,0.0232906
1.2273e-01,0.0232094
1.2276e-01,0.0231562
1.2279e-01,0.0236781
1.2282e-01,0.0240437
1.2286e-01,0.0237437
1.2289e-01,0.0245125
1.2292e-01,0.0236937
1.2295e-01,0.0236531
1.2298e-01,0.0240281
1.2302e-01,0.0243094
1.2305e-01,0.0244906
1.2308e-01,0.0244656
1.2311e-01,0.0239219
1.2314e-01,0.0237
1.2318e-01,0.023
1.2321e-01,0.0234969
1.2324e-01,0.0239125
1.2327e-01,0.0235531
1.2330e-01,0.0235562
1.2334e-01,0.0234781
1.2337e-01,0.0236656
1.2340e-01,0.0232562
1.2343e-01,0.023375
1.2346e-01,0.0231
1.2350e-01,0.023425
1.2353e-01,0.023075
1.2356e-01,0.02315
1.2359e-01,0.0222594
1.2362e-01,0.0232719
1.2366e-01,0.0235687
1.2369e-01,0.0229969
1.2372e-01,0.0232437
1.2375e-01,0.0229031
1.2378e-01,0.0227781
1.2382e-01,0.0233312
1.2385e-01,0.0235625
1.2388e-01,0.0233844
1.2391e-01,0.024
1.2394e-01,0.0237969
1.2398e-01,0.0233219
1.2401e-01,0.0234531
1.2404e-01,0.024225
1.2407e-01,0.0239281
1.2410e-01,0.0233812
1.2414e-01,0.0234812
1.2417e-01,0.0227844
1.2420e-01,0.0238906
1.2423e-01,0.0243469
1.2426e-01,0.0237937
1.2430e-01,0.0235875
1.2433e-01,0.0227281
1.2436e-01,0.0231812
1.2439e-01,0.0230125
1.2442e-01,0.0229094
1.2446e-01,0.0228844
1.2449e-01,0.022775
1.2452e-01,0.0235531
1.2455e-01,0.0235562
1.2458e-01,0.02365
1.2462e-01,0.0238344
1.2465e-01,0.0238469
1.2468e-01,0.0235094
1.2471e-01,0.0236062
1.2474e-01,0.0244125
1.2478e-01,0.0238344
1.2481e-01,0.0242187
1.2484e-01,0.0244156
1.2487e-01,0.024375
1.2490e-01,0.0239312
1.2494e-01,0.0236031
1.2497e-01,0.0238719
1.2500e-01,0.0239187
1.2503e-01,0.0240906
1.2506e-01,0.0235531
1.2510e-01,0.0233219
1.2513e-01,0.0238687
1.2516e-01,0.0231781
1.2519e-01,0.023125
1.2522e-01,0.0226781
1.2526e-01,0.0232594
1.2529e-01,0.02335
1.2532e-01,0.0230687
1.2535e-01,0.0235469
1.2538e-01,0.0233875
1.2542e-01,0.0236281
1.2545e-01,0.0242281
1.2548e-01,0.02445
1.2551e-01,0.0240625
1.2554e-01,0.0242031
1.2558e-01,0.0245312
1.2561e-01,0.0240375
1.2564e-01,0.0237687
1.2567e-01,0.0234969
1.2570e-01,0.0231937
1.2574e-01,0.0235844
1.2577e-01,0.0246781
1.2580e-01,0.0248844
1.2583e-01,0.0251156
1.2586e-01,0.0251031
1.2590e-01,0.0243875
1.2593e-01,0.0244844
1.2596e-01,0.0254969
1.2599e-01,0.02545
1.2602e-01,0.0245281
1.2606e-01,0.0245281
1.2609e-01,0.0243062
1.2612e-01,0.0234031
1.2615e-01,0.023675
1.2618e-01,0.02345
1.2622e-01,0.0239
1.2625e-01,0.0242469
1.2628e-01,0.025075
1.2631e-01,0.0261
1.2634e-01,0.0248781
1.2638e-01,0.0249656
1.2641e-01,0.0245781
1.2644e-01,0.0241187
1.2647e-01,0.0242625
1.2650e-01,0.0253
1.2654e-01,0.0261687
1.2657e-01,0.0262281
1.2660e-01,0.0268875
1.2663e-01,0.0264375
1.2666e-01,0.0261719
1.2670e-01,0.0266312
1.2673e-01,0.0260812
1.2676e-01,0.0262656
1.2679e-01,0.0254219
1.2682e-01,0.0260406
1.2686e-01,0.0253375
1.2689e-01,0.0250562
1.2692e-01,0.0255687
1.2695e-01,0.025825
1.2698e-01,0.0260844
1.2702e-01,0.0263281
1.2705e-01,0.0265031
1.2708e-01,0.0260687
1.2711e-01,0.0257469
1.2714e-01,0.0257375
1.2718e-01,0.0260906
1.2721e-01,0.0259
1.2724e-01,0.0265906
1.2727e-01,0.0272281
1.2730e-01,0.0258625
1.2734e-01,0.0261062
1.2737e-01,0.0249594
1.2740e-01,0.0256312
1.2743e-01,0.0261906
1.2746e-01,0.0262156
1.2750e-01,0.0260969
1.2753e-01,0.0256969
1.2756e-01,0.0266719
1.2759e-01,0.0272406
1.2762e-01,0.0279875
1.2766e-01,0.0282969
1.2769e-01,0.0272031
1.2772e-01,0.0266656
1.2775e-01,0.0256156
1.2778e-01,0.0272812
1.2782e-01,0.0266
1.2785e-01,0.0265687
1.2788e-01,0.0262719
1.2791e-01,0.0264406
1.2794e-01,0.02705
1.2798e-01,0.0277469
1.2801e-01,0.0287906
1.2804e-01,0.0291062
1.2807e-01,0.0295469
1.2810e-01,0.0295969
1.2814e-01,0.0291406
1.2817e-01,0.029675
1.2820e-01,0.0299937
1.2823e-01,0.028775
1.2826e-01,0.0276406
1.2830e-01,0.0288062
1.2833e-01,0.0281656
1.2836e-01,0.0280031
1.2839e-01,0.0281281
1.2842e-01,0.0282187
1.2846e-01,0.0303594
1.2849e-01,0.0290469
1.2852e-01,0.0287562
1.2855e-01,0.0288719
1.2858e-01,0.0277219
1.2862e-01,0.0272781
1.2865e-01,0.0279594
1.2868e-01,0.0291656
1.2871e-01,0.0293062
1.2874e-01,0.0313187
1.2878e-01,0.0316156
1.2881e-01,0.0305406
1.2884e-01,0.0292937
1.2887e-01,0.0283844
1.2890e-01,0.0301094
1.2894e-01,0.03
1.2897e-01,0.030125
1.2900e-01,0.0301469
1.2903e-01,0.0309906
1.2906e-01,0.0311562
1.2910e-01,0.0315687
1.2913e-01,0.0326031
1.2916e-01,0.031825
1.2919e-01,0.0315031
1.2922e-01,0.0298094
1.2926e-01,0.0296687
1.2929e-01,0.0304062
1.2932e-01,0.0317219
1.2935e-01,0.0330812
1.2938e-01,0.032625
1.2942e-01,0.0334937
1.2945e-01,0.0334312
1.2948e-01,0.0338062
1.2951e-01,0.0342031
1.2954e-01,0.03545
1.2958e-01,0.034875
1.2961e-01,0.034375
1.2964e-01,0.0353844
1.2967e-01,0.0341594
1.2970e-01,0.0339969
1.2974e-01,0.0339844
1.2977e-01,0.0352937
1.2980e-01,0.0349969
1.2983e-01,0.0352062
1.2986e-01,0.0360969
1.2990e-01,0.0361406
1.2993e-01,0.0363812
1.2996e-01,0.0355844
1.2999e-01,0.0368125
1.3002e-01,0.0377969
1.3006e-01,0.0379625
1.3009e-01,0.0384406
1.3012e-01,0.0382656
1.3015e-01,0.0407031
