Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.2180e-01,0.0284312
1.2183e-01,0.0271969
1.2186e-01,0.0283437
1.2190e-01,0.0281406
1.2193e-01,0.0275875
1.2196e-01,0.0268187
1.2199e-01,0.0268625
1.2202e-01,0.0263719
1.2206e-01,0.0263969
1.2209e-01,0.0261281
1.2212e-01,0.0259437
1.2215e-01,0.0249844
1.2218e-01,0.0252312
1.2222e-01,0.02565
1.2225e-01,0.0261937
1.2228e-01,0.0257781
1.2231e-01,0.025925
1.2234e-01,0.0263375
1.2238e-01,0.0278094
1.2241e-01,0.0275844
1.2244e-01,0.0277094
1.2247e-01,0.0277344
1.2250e-01,0.02705
1.2254e-01,0.027075
1.2257e-01,0.0264562
1.2260e-01,0.0262687
1.2263e-01,0.0257469
1.2266e-01,0.0257875
1.2270e-01,0.0255844
1.2273e-01,0.0259219
1.2276e-01,0.0267687
1.2279e-01,0.0268969
1.2282e-01,0.0275656
1.2286e-01,0.0263531
1.2289e-01,0.02605
1.2292e-01,0.0251781
1.2295e-01,0.0248656
1.2298e-01,0.0251406
1.2302e-01,0.0254375
1.2305e-01,0.0257844
1.2308e-01,0.0261281
1.2311e-01,0.0260687
1.2314e-01,0.0249906
1.2318e-01,0.0249312
1.2321e-01,0.0251125
1.2324e-01,0.02545
1.2327e-01,0.0256875
1.2330e-01,0.0255844
1.2334e-01,0.0258687
1.2337e-01,0.0249406
1.2340e-01,0.0248562
1.2343e-01,0.0255312
1.2346e-01,0.0253937
1.2350e-01,0.0250437
1.2353e-01,0.0247969
1.2356e-01,0.0246281
1.2359e-01,0.0236906
1.2362e-01,0.0244187
1.2366e-01,0.0255344
1.2369e-01,0.0251812
1.2372e-01,0.02605
1.2375e-01,0.0254906
1.2378e-01,0.0253656
1.2382e-01,0.0254625
1.2385e-01,0.0269281
1.2388e-01,0.0267906
1.2391e-01,0.0258594
1.2394e-01,0.0273
1.2398e-01,0.0273187
1.2401e-01,0.0277937
1.2404e-01,0.0268531
1.2407e-01,0.0257187
1.2410e-01,0.0256469
1.2414e-01,0.0258125
1.2417e-01,0.0260312
1.2420e-01,0.0275344
1.2423e-01,0.0270937
1.2426e-01,0.0256219
1.2430e-01,0.0251562
1.2433e-01,0.0250344
1.2436e-01,0.0240406
1.2439e-01,0.0245562
1.2442e-01,0.0251
1.2446e-01,0.0264531
1.2449e-01,0.0267781
1.2452e-01,0.0276656
1.2455e-01,0.0277687
1.2458e-01,0.0287594
1.2462e-01,0.0277406
1.2465e-01,0.0270937
1.2468e-01,0.0271812
1.2471e-01,0.0269719
1.2474e-01,0.0269094
1.2478e-01,0.0259531
1.2481e-01,0.0262281
1.2484e-01,0.0266594
1.2487e-01,0.0260656
1.2490e-01,0.0271125
1.2494e-01,0.0259594
1.2497e-01,0.0262187
1.2500e-01,0.0257125
1.2503e-01,0.0260937
1.2506e-01,0.0263312
1.2510e-01,0.0267656
1.2513e-01,0.0269219
1.2516e-01,0.0256312
1.2519e-01,0.0265312
1.2522e-01,0.0270125
1.2526e-01,0.0290562
1.2529e-01,0.0297219
1.2532e-01,0.0301719
1.2535e-01,0.0302594
1.2538e-01,0.0286937
1.2542e-01,0.0266
1.2545e-01,0.0263844
1.2548e-01,0.0269094
1.2551e-01,0.0272219
1.2554e-01,0.0268687
1.2558e-01,0.02705
1.2561e-01,0.0280562
1.2564e-01,0.0303281
1.2567e-01,0.03015
1.2570e-01,0.028825
1.2574e-01,0.0275687
1.2577e-01,0.0278906
1.2580e-01,0.028375
1.2583e-01,0.0296719
1.2586e-01,0.0287219
1.2590e-01,0.0286937
1.2593e-01,0.0296719
1.2596e-01,0.0288469
1.2599e-01,0.0291281
1.2602e-01,0.0291937
1.2606e-01,0.0290406
1.2609e-01,0.0280594
1.2612e-01,0.0283937
1.2615e-01,0.0292719
1.2618e-01,0.0284625
1.2622e-01,0.027625
1.2625e-01,0.0266406
1.2628e-01,0.0277969
1.2631e-01,0.0298844
1.2634e-01,0.0311469
1.2638e-01,0.030025
1.2641e-01,0.0321531
1.2644e-01,0.0308031
1.2647e-01,0.0308906
1.2650e-01,0.0298812
1.2654e-01,0.0294031
1.2657e-01,0.0290469
1.2660e-01,0.0311844
1.2663e-01,0.0307187
1.2666e-01,0.0297281
1.2670e-01,0.0301062
1.2673e-01,0.0322156
1.2676e-01,0.0326
1.2679e-01,0.0336031
1.2682e-01,0.0326844
1.2686e-01,0.03095
1.2689e-01,0.0301937
1.2692e-01,0.0300937
1.2695e-01,0.0297344
1.2698e-01,0.0299094
1.2702e-01,0.0317937
1.2705e-01,0.0319656
1.2708e-01,0.0332531
1.2711e-01,0.0346844
1.2714e-01,0.0345094
1.2718e-01,0.0327219
1.2721e-01,0.0314125
1.2724e-01,0.0328687
1.2727e-01,0.0348156
1.2730e-01,0.0351437
1.2734e-01,0.0349406
1.2737e-01,0.0349625
1.2740e-01,0.0347969
1.2743e-01,0.0332437
1.2746e-01,0.0340594
1.2750e-01,0.0342562
1.2753e-01,0.0348531
1.2756e-01,0.0339656
1.2759e-01,0.034525
1.2762e-01,0.0333594
1.2766e-01,0.0342844
1.2769e-01,0.033325
1.2772e-01,0.0335531
1.2775e-01,0.0336375
1.2778e-01,0.0347844
1.2782e-01,0.0349531
1.2785e-01,0.0366719
1.2788e-01,0.0362969
1.2791e-01,0.0353406
1.2794e-01,0.0351594
1.2798e-01,0.0368531
1.2801e-01,0.0376094
1.2804e-01,0.0382562
1.2807e-01,0.0409469
1.2810e-01,0.0412437
1.2814e-01,0.0409594
1.2817e-01,0.0402875
1.2820e-01,0.039825
1.2823e-01,0.0400937
1.2826e-01,0.0390469
1.2830e-01,0.0416687
1.2833e-01,0.0408312
1.2836e-01,0.0416312
1.2839e-01,0.0425312
1.2842e-01,0.0423125
1.2846e-01,0.0428312
1.2849e-01,0.0436594
1.2852e-01,0.042675
1.2855e-01,0.0426687
1.2858e-01,0.04225
1.2862e-01,0.0432656
1.2865e-01,0.0446969
1.2868e-01,0.0448031
1.2871e-01,0.0471187
1.2874e-01,0.0496656
1.2878e-01,0.051
1.2881e-01,0.0511906
1.2884e-01,0.0498719
1.2887e-01,0.0487125
1.2890e-01,0.0487031
1.2894e-01,0.0494531
1.2897e-01,0.0477031
1.2900e-01,0.0471156
1.2903e-01,0.0455062
1.2906e-01,0.0452969
1.2910e-01,0.0455844
1.2913e-01,0.0440781
1.2916e-01,0.0455375
1.2919e-01,0.044575
1.2922e-01,0.044125
1.2926e-01,0.0429
1.2929e-01,0.0421594
1.2932e-01,0.0409812
1.2935e-01,0.0407656
1.2938e-01,0.0412312
1.2942e-01,0.0390219
1.2945e-01,0.0383812
1.2948e-01,0.0383375
1.2951e-01,0.03915
1.2954e-01,0.0388875
1.2958e-01,0.0378094
1.2961e-01,0.0344937
1.2964e-01,0.0349781
1.2967e-01,0.0341031
1.2970e-01,0.0331187
1.2974e-01,0.032875
1.2977e-01,0.0311969
1.2980e-01,0.0317531
1.2983e-01,0.0323375
1.2986e-01,0.0315531
1.2990e-01,0.0309937
1.2993e-01,0.0313469
1.2996e-01,0.0293625
1.2999e-01,0.0303656
1.3002e-01,0.02945
1.3006e-01,0.0289156
1.3009e-01,0.0276
1.3012e-01,0.0266
1.3015e-01,0.0269625
