Pressure (Torr),Cursor X (V),Temp (K) (He-4)
650.5,0.061524,4.061
615,0.183333,4.005
596.1,0.253333,3.974
570.2,0.347143,3.93
543.9,0.442857,3.885
520.3,0.536,3.843
494.4,0.645238,3.795
472.5,0.736,3.754
444.7,0.85381,3.699
417.9,0.97,3.644
396.9,1.065,3.599
371.4,1.179524,3.543
346.8,1.302381,3.486
319,1.44,3.418
295.7,1.555,3.358
270.7,1.688095,3.29
245.8,1.825,3.217
220.1,1.97,3.137
194.8,2.125,3.052
157.9,2.37,2.913
146.5,2.450714,2.866
122.3,2.63,2.756
95.5,2.844762,2.616
67.7,3.107143,2.438
47.9,3.328571,2.277
22.4,3.735714,1.984
8.1,4.055,1.689
3.7,4.225,1.509
2.9,4.265,1.46
